Bloodstained Mire	Khans Of Tarkir		
Steam Vents	Return To Ravnica		
Breeding Pool	Gatecrash				
Sensei's Divining Top	Eternal Masters		
Cryptic Command	Iconic Masters		
Blood Crypt	Return To Ravnica	3	
Thassa, God of the Sea	Theros		
Noxious Revival	New Phyrexia		
Watery Grave	Gatecrash	3	
Tezzeret, Artifice Master	Core Set 2019		
Godless Shrine	Gatecrash		
Darkslick Shores	Scars Of Mirrodin		
Baral, Chief of Compliance	Aether Revolt	4	
Hallowed Fountain	Return To Ravnica	3	
Unbound Flourishing	Modern Horizons		
Goblin Matron	Modern Horizons		F
Admiral Beckett Brass	Ixalan		
Finale of Revelation	War Of The Spark		
Drana, Liberator of Malakir	Battle For Zendikar		
Hurkyl's Recall	Fourth Edition		
Boggart Harbinger	Lorwyn		
Cloak and Dagger	Morningtide		
Etched Champion	Modern Masters 2015		F
Dead of Winter	Modern Horizons		
Ghostly Prison	Conspiracy: Take The Crown		
Crypt Breaker	Eldritch Moon	2	
Goblin Welder	Commander 2015		
Kambal, Consul of Allocation	Kaladesh		
Choked Estuary	Shadows Over Innistrad		
Dark Prophecy	Magic 2014		
Etchings of the Chosen	Modern Horizons		F
Wilt-Leaf Liege	Modern Masters 2015		
Momir Vig, Simic Visionary	Dissension	2	
Return of the Wildspeaker	Throne Of Eldraine		
Treasonous Ogre	Conspiracy		
Prized Amalgam	Shadows Over Innistrad		
Terminus	Avacyn Restored	4	
Entreat the Angels	Avacyn Restored	2	
Hammer of Purphoros	Theros		
Planewide Celebration	War Of The Spark		F
Nighthowler	Theros		F
Aetherworks Marvel	Kaladesh		
Temple of Triumph	Theros		
Blood Baron of Vizkopa	Dragon's Maze		
The Great Aurora	Magic Origins		
Triumphant Reckoning	Commander Legends		
Isperia, Supreme Judge	Return To Ravnica		
Unflinching Courage	Dragon's Maze		F
Talisman of Indulgence	Mirrodin		
Sanguine Bond	Magic 2014		
Paradise Mantle	Modern Masters		
Swan Song	Theros		
Ral, Storm Conduit	War Of The Spark		
Mindmoil	Ravnica: City Of Guilds		
Rakdos Signet	Dissension		
Archetype of Endurance	Born Of The Gods		
Dictate of Kruphix	Journey Into Nyx		
Mangara of Corondor	Battlebond		
Kalonian Twingrove	Magic 2015		
Rude Awakening	Modern Masters		
Detention Sphere	Return To Ravnica		
Clockwork Dragon	Mirrodin		
Etchings of the Chosen	Modern Horizons		
Animist's Awakening	Magic Origins		
Thopter Foundry	Alara Reborn		
Glory-Bound Initiate	Amonkhet		
Stone Haven Outfitter	Oath Of The Gatewatch		
Fiendslayer Paladin	Magic 2014		
Mind Unbound	Magic 2012		
Mulldrifter	Commander 2015		
Talrand, Sky Summoner	Magic 2013		
Magmatic Channeler	Zendikar Rising		
Imprisoned in the Moon	Eldritch Moon		
Soul of the Harvest	Avacyn Restored		
Spinerock Knoll	Commander 2015		
Siege-Gang Commander	Eternal Masters		
Endbringer	Oath Of The Gatewatch		
Open the Armory	Shadows Over Innistrad		
Scale Up	Modern Horizons		
Epic Experiment	Return To Ravnica		
Flayer of the Hatebound	Dark Ascension		
Dreadhorde Arcanist	War Of The Spark		
Astral Drift	Modern Horizons		
Harbinger of the Tides	Magic Origins		
Mizzium Mortars	Return To Ravnica		
Zombie Infestation	Magic 2012	4	
Gifts Ungiven	Modern Masters 2015	4	
Street Wraith	Modern Masters	2	
Dimir Cutpurse	Duel Decks: Ajani Vs. Nicol Bolas		
Beck // Call	Dragon's Maze		
Sword-Point Diplomacy	Ixalan		
Syndicate Trafficker	Kaladesh	2	
Battle at the Bridge	Aether Revolt		
Chaos Imps	Return To Ravnica		
Deal Broker	Conspiracy	2	
Pia's Revolution	Aether Revolt		
Pia Nalaar	Kaladesh		
Counterflux	Return To Ravnica		
Mindwrack Demon	Shadows Over Innistrad		
Shrine of the Forsaken Gods	Battle For Zendikar		
Metamorphic Alteration	Core Set 2019		
Silent Submersible	War Of The Spark		
Goblin Diplomats	Magic 2014		
Trophy Mage	Aether Revolt		
Burn from Within	Shadows Over Innistrad		
Pyrewild Shaman	Dragon's Maze		
Jace's Mindseeker	Magic 2014	2	
Ensoul Artifact	Magic 2015		
Snow-Covered Island	Modern Horizons	2	
Xathrid Necromancer	Magic 2014	3	
Exava, Rakdos Blood Witch	Dragon's Maze	4	
Ghirapur Aether Grid	Magic Origins		
Teysa, Envoy of Ghosts	Dragon's Maze	2	F
Dakmor Salvage	Duel Decks: Izzet vs. Golgari		
Reign of the Pit	Conspiracy		
Noosegraf Mob	Eldritch Moon		
Hour of Glory	Hour Of Devastation		
Viscera Seer	Magic 2011		
Blossoming Defense	Kaladesh		
Izzet Boilerworks	Iconic Masters		
Crumbling Necropolis	Duel Decks: Ajani Vs. Nicol Bolas		
Arbor Elf	Magic 2013		
Lead the Stampede	Conspiracy		
Zendikar's Roil	Magic Origins		
Harmonize	Eternal Masters		
Honden of Life's Web	Eternal Masters		
The Eldest Reborn	Dominaria		
Llanowar Tribe	Modern Horizons		
Tel-Jilad Stylus	Mirrodin		
Countersquall	Duel Decks: Ajani Vs. Nicol Bolas		
Mana Bloom	Return To Ravnica		
Loxodon Smiter	Return To Ravnica		
Pentavus	Magic 2012		
Scrapheap Scrounger	Kaladesh		
Empty the Warrens	Modern Masters		
Key to the City	Kaladesh		
Falkenrath Gorger	Shadows Over Innistrad		
Thalia's Lancers	Eldritch Moon		
Touch of the Eternal	Magic 2013		
Gaze of Granite	Dragon's Maze		
Slagstorm	Mirrodin Besieged		
Angel of Deliverence	Shadows Over Innistrad		
Sultai Ascendancy	Khans Of Tarkir		
Fraying Omnipotence	Core Set 2019		
Dreamscape Artist	Planar Chaos		
Darkblast	Ravnica: City Of Guilds		
Drownyard Temple	Shadows Over Innistrad		
Dimir Doppleganger	Conspiracy		
Pyromancer's Gauntlet	Magic 2014		
Mad Auntie	Modern Masters	2	
Beetleback Chief	Duel Decks: Speed Vs. Cunning		
Mogg War Marshal	Eternal Masters		
Sage of Ancient Lore	Shadows Over Innistrad		
Animation Module	Kaladesh		
King of the Pride	Modern Horizons		
Hollowhead Sliver	Modern Horizons		
Pyretic Ritual	Magic 2011	4	
Desperate Ritual	Champions Of Kamigawa	4	
Faithless Looting	Eternal Masters		
